arm_id;arm_data_ini;arm_data_fin;arm_altezza;arm_lunghezza_sbraccio;arm_numero_lampade;arm_lmp_potenza_nominale;tar_cod;tar_descr;tmo_id;tpo_cod;tpo_descr;sgn_id;sgn_data_inserimento;tcs_id;tcs_descr;tci_id;tci_descr
524334;1/1/2020;29/2/2024;900.0;10.0;1.0;150.0;AS;Armatura stradale;640.0;SB;Sbraccio su palo;;;;;;
1242405;1/6/2025;13/2/2026;400.0;;1.0;19.1;AU;Arredo urbano;1811.0;TP;Testapalo;;;;;;
112744;1/1/2018;31/10/2020;1000.0;0.0;1.0;100.0;AS;Armatura stradale;262.0;TP;Testapalo;;;;;;
831597;1/1/2022;31/3/2025;400.0;0.0;1.0;31.5;AU;Arredo urbano;2481.0;TP;Testapalo;;;;;;
183166;30/9/2018;13/2/2026;400.0;10.0;1.0;70.0;AU;Arredo urbano;225.0;SB;Sbraccio su palo;;;;;;
562415;1/1/2020;31/12/2021;700.0;0.0;1.0;150.0;AS;Armatura stradale;613.0;TP;Testapalo;;;;;;
75693;1/1/2018;13/2/2026;0.0;0.0;1.0;150.0;AS;Armatura stradale;7.0;SB;Sbraccio su palo;;;;;;
987984;1/1/2017;13/2/2026;;;1.0;150.0;AS;Armatura stradale;189.0;TP;Testapalo;;;;;;
557849;1/1/2020;31/12/2021;400.0;0.0;1.0;125.0;SF;Sfera;599.0;TP;Testapalo;;;;;;
151480;18/9/2018;13/2/2026;320.0;0.0;1.0;47.0;AU;Arredo urbano;335.0;TP;Testapalo;;;;;;
683672;1/6/2021;13/2/2026;450.0;;1.0;21.5;;;750.0;SB;Sbraccio su palo;;;;;;
729685;1/1/2022;31/1/2022;600.0;50.0;1.0;150.0;AU;Arredo urbano;613.0;SB;Sbraccio su palo;;;;;;
965060;1/1/2023;13/2/2026;900.0;200.0;1.0;35.0;AS;Armatura stradale;3361.0;SB;Sbraccio su palo;;;;;;
1007633;1/6/2023;31/5/2025;800.0;;1.0;20.0;AS;Armatura stradale;189.0;TP;Testapalo;;;;;;
959278;31/5/2023;31/5/2025;;100.0;1.0;150.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
301457;10/11/2016;31/12/2019;800.0;0.0;1.0;100.0;AS;Armatura stradale;23.0;NN;Non noto;;;;;;
582762;1/1/2020;13/2/2026;800.0;150.0;1.0;45.0;AS;Armatura stradale;753.0;SB;Sbraccio su palo;;;;;;
1007872;1/6/2023;31/5/2025;400.0;;1.0;125.0;SF;Sfera;189.0;TP;Testapalo;;;;;;
1090597;1/7/2024;13/2/2026;400.0;;1.0;25.0;AU;Arredo urbano;2065.0;TP;Testapalo;;;;;;
819657;1/1/2022;31/12/2024;0.0;0.0;1.0;100.0;AS;Armatura stradale;2119.0;TP;Testapalo;;;;;;
1146573;1/1/2025;13/2/2026;900.0;;1.0;35.0;AU;Arredo urbano;225.0;TP;Testapalo;;;;;;
687901;10/8/2021;13/2/2026;0.0;0.0;1.0;76.0;AS;Armatura stradale;550.0;SB;Sbraccio su palo;;;;;;
175384;30/9/2018;13/2/2026;800.0;100.0;1.0;70.0;AS;Armatura stradale;66.0;SB;Sbraccio su palo;;;;;;
967245;1/1/2023;13/2/2026;800.0;100.0;1.0;54.0;AS;Armatura stradale;2208.0;SB;Sbraccio su palo;;;;;;
496191;1/6/2018;13/2/2026;300.0;0.0;1.0;70.0;AU;Arredo urbano;189.0;NN;Non noto;;;;;;
850120;1/1/2022;13/2/2026;800.0;200.0;1.0;87.0;AS;Armatura stradale;2209.0;SB;Sbraccio su palo;;;;;;
901409;1/1/2022;13/2/2026;1000.0;30.0;1.0;150.0;AS;Armatura stradale;189.0;NN;Non noto;;;;;;
408517;4/11/2019;13/2/2026;0.0;0.0;1.0;37.0;AS;Armatura stradale;749.0;NN;Non noto;;;;;;
1055889;1/6/2023;31/3/2025;;;1.0;30.0;;;;;;;;;;;
494893;1/1/2020;31/12/2021;0.0;0.0;1.0;78.4;SP;Segnapasso;189.0;IN;Incassato;;;;;;
594794;1/11/2020;30/12/2021;750.0;200.0;1.0;23.0;AS;Armatura stradale;1460.0;SB;Sbraccio su palo;;;;;;
426548;1/10/2019;31/10/2020;500.0;0.0;1.0;70.0;PR;Proiettore;276.0;SB;Sbraccio su palo;;;;;;
1057346;1/1/2024;13/2/2026;700.0;300.0;1.0;25.0;AS;Armatura stradale;3707.0;SB;Sbraccio su palo;;;;;;
1049280;1/1/2019;13/2/2026;350.0;0.0;1.0;35.0;AU;Arredo urbano;3677.0;TP;Testapalo;;;;;;
4266;1/1/2018;29/11/2021;800.0;200.0;1.0;100.0;AS;Armatura stradale;237.0;NN;Non noto;;;;;;
292667;10/11/2016;31/12/2019;0.0;0.0;1.0;100.0;AS;Armatura stradale;23.0;TP;Testapalo;;;;;;
1003041;1/8/2023;13/2/2026;1050.0;;1.0;150.0;AS;Armatura stradale;189.0;TP;Testapalo;;;;;;
1118333;1/1/2024;13/2/2026;550.0;;1.0;40.0;AU;Arredo urbano;3976.0;TP;Testapalo;;;;;;
806508;1/1/2022;31/12/2025;750.0;0.0;1.0;70.0;AS;Armatura stradale;189.0;ME;Mensola;;;;;;
198495;28/6/2016;31/12/2021;700.0;0.0;1.0;100.0;AS;Armatura stradale;1241.0;SB;Sbraccio su palo;;;;;;
1082150;1/1/2019;13/2/2026;800.0;;1.0;34.0;AS;Armatura stradale;772.0;TP;Testapalo;;;;;;
1188377;1/8/2025;13/2/2026;800.0;;1.0;150.0;AS;Armatura stradale;7.0;TP;Testapalo;;;;;;
505231;1/1/2020;31/12/2020;1000.0;0.0;1.0;100.0;AS;Armatura stradale;100.0;TP;Testapalo;;;;;;
22315;1/1/2018;31/12/2021;0.0;0.0;1.0;100.0;AS;Armatura stradale;7.0;NN;Non noto;;;;;;
35617;1/1/2018;31/12/2020;900.0;0.0;1.0;100.0;AS;Armatura stradale;55.0;TP;Testapalo;;;;;;
710144;1/1/2022;13/2/2026;600.0;0.0;1.0;57.0;AS;Armatura stradale;722.0;TP;Testapalo;;;;;;
256526;28/9/2016;31/12/2023;0.0;0.0;1.0;150.0;NN;Non noto;189.0;NN;Non noto;;;;;;
487323;1/1/2020;13/2/2026;800.0;300.0;1.0;30.0;AS;Armatura stradale;550.0;SB;Sbraccio su palo;;;;;;
592351;1/11/2020;30/12/2021;400.0;0.0;1.0;125.0;SF;Sfera;611.0;TP;Testapalo;;;;;;
978280;1/7/2023;13/2/2026;30.0;;1.0;8.0;SP;Segnapasso;601.0;IN;Incassato;;;;;;
805504;1/1/2022;31/12/2025;250.0;0.0;1.0;36.0;PL;Plafoniera;611.0;NN;Non noto;;;;;;
1268685;1/1/2026;13/2/2026;750.0;;1.0;23.0;AS;Armatura stradale;2297.0;TP;Testapalo;;;;;;
473251;1/1/2020;13/2/2026;650.0;100.0;1.0;30.0;AS;Armatura stradale;613.0;SB;Sbraccio su palo;;;;;;
10018;1/1/2018;31/12/2018;1100.0;80.0;1.0;150.0;AS;Armatura stradale;241.0;NN;Non noto;;;;;;
1249715;1/1/2025;13/2/2026;800.0;0.0;1.0;36.0;AS;Armatura stradale;3670.0;TP;Testapalo;;;;;;
764628;31/12/2021;31/12/2021;600.0;0.0;1.0;100.0;LA;Lanterna artistica ;1550.0;SB;Sbraccio su palo;;;;;;
272173;17/10/2016;13/2/2026;0.0;0.0;1.0;70.0;NN;Non noto;189.0;NN;Non noto;;;;;;
869268;1/4/2022;13/2/2026;;;1.0;27.0;AS;Armatura stradale;1718.0;TP;Testapalo;;;;;;
976589;1/1/2023;31/12/2023;300.0;;1.0;70.0;SF;Sfera;189.0;NN;Non noto;;;;;;
333595;25/1/2017;28/2/2022;0.0;0.0;1.0;100.0;NN;Non noto;189.0;NN;Non noto;;;;;;
