arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
1104326,1/1/2024,13/2/2026,900.0,150.0,1.0,90.0,AS,Armatura stradale,3954.0,SB,Sbraccio su palo,,,,,,,41.82264176405731,12.622388116031845
997087,1/7/2023,13/2/2026,1000.0,,1.0,250.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.94807244107694,12.564555500511291
58940,1/1/2018,31/12/2022,0.0,0.0,1.0,100.0,NN,Non noto,169.0,SB,Sbraccio su palo,,,,,,,41.84647241991723,12.44680807507401
830878,1/1/2022,31/3/2025,900.0,20.0,1.0,71.0,AS,Armatura stradale,2449.0,SB,Sbraccio su palo,,,,,,,41.937602242024354,12.603495193872813
709654,1/1/2022,13/2/2026,800.0,300.0,1.0,57.0,AS,Armatura stradale,722.0,SB,Sbraccio su palo,,,,,,,41.75270587392846,12.372666461116243
1176776,1/7/2025,13/2/2026,450.0,50.0,1.0,70.0,AU,Arredo urbano,189.0,SB_SO,Sbraccio attacco sospeso,,,,,,,41.857485072987295,12.672573889566161
929383,1/1/2023,31/12/2024,900.0,,1.0,150.0,AS,Armatura stradale,2992.0,SB,Sbraccio su palo,,,,,,,41.84418489981061,12.476157063813258
524334,1/1/2020,29/2/2024,900.0,10.0,1.0,150.0,AS,Armatura stradale,640.0,SB,Sbraccio su palo,,,,,,,41.89536608068388,12.470127932363116
1242405,1/6/2025,13/2/2026,400.0,,1.0,19.1,AU,Arredo urbano,1811.0,TP,Testapalo,,,,,,,41.92712335325259,12.421334331374464
112744,1/1/2018,31/10/2020,1000.0,0.0,1.0,100.0,AS,Armatura stradale,262.0,TP,Testapalo,,,,,,,41.98524603609754,12.50947648644693
831597,1/1/2022,31/3/2025,400.0,0.0,1.0,31.5,AU,Arredo urbano,2481.0,TP,Testapalo,,,,,,,41.88344485065907,12.502431302674665
183166,30/9/2018,13/2/2026,400.0,10.0,1.0,70.0,AU,Arredo urbano,225.0,SB,Sbraccio su palo,,,,,,,41.891265565270125,12.39454363221119
562415,1/1/2020,31/12/2021,700.0,0.0,1.0,150.0,AS,Armatura stradale,613.0,TP,Testapalo,,,,,,,41.81618433092406,12.461900446883874
75693,1/1/2018,13/2/2026,0.0,0.0,1.0,150.0,AS,Armatura stradale,7.0,SB,Sbraccio su palo,,,,,,,41.86695470274532,12.57670877547123
987984,1/1/2017,13/2/2026,,,1.0,150.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.969570673875566,12.35301332966017
557849,1/1/2020,31/12/2021,400.0,0.0,1.0,125.0,SF,Sfera,599.0,TP,Testapalo,,,,,,,41.94624918335699,12.321256605441263
151480,18/9/2018,13/2/2026,320.0,0.0,1.0,47.0,AU,Arredo urbano,335.0,TP,Testapalo,,,,,,,41.865322896035174,12.6828223377768
683672,1/6/2021,13/2/2026,450.0,,1.0,21.5,,,750.0,SB,Sbraccio su palo,,,,,,,41.864659890547856,12.68085354014886
729685,1/1/2022,31/1/2022,600.0,50.0,1.0,150.0,AU,Arredo urbano,613.0,SB,Sbraccio su palo,,,,,,,41.74618396429479,12.288402773036388
965060,1/1/2023,13/2/2026,900.0,200.0,1.0,35.0,AS,Armatura stradale,3361.0,SB,Sbraccio su palo,,,,,,,41.86024484712897,12.693130956060894
1007633,1/6/2023,31/5/2025,800.0,,1.0,20.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.93297924897253,12.552761407194266
959278,31/5/2023,31/5/2025,,100.0,1.0,150.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,42.04410313300714,12.557543219081326
301457,10/11/2016,31/12/2019,800.0,0.0,1.0,100.0,AS,Armatura stradale,23.0,NN,Non noto,,,,,,,41.73085586469847,12.277940952287247
582762,1/1/2020,13/2/2026,800.0,150.0,1.0,45.0,AS,Armatura stradale,753.0,SB,Sbraccio su palo,,,,,,,41.834398306179,12.509875133297962
1007872,1/6/2023,31/5/2025,400.0,,1.0,125.0,SF,Sfera,189.0,TP,Testapalo,,,,,,,41.993954756593375,12.494249005402962
1090597,1/7/2024,13/2/2026,400.0,,1.0,25.0,AU,Arredo urbano,2065.0,TP,Testapalo,,,,,,,41.96676507358824,12.409374354502804
819657,1/1/2022,31/12/2024,0.0,0.0,1.0,100.0,AS,Armatura stradale,2119.0,TP,Testapalo,,,,,,,41.823707610451436,12.625581537711799
1146573,1/1/2025,13/2/2026,900.0,,1.0,35.0,AU,Arredo urbano,225.0,TP,Testapalo,,,,,,,41.88734489207475,12.497073661950964
687901,10/8/2021,13/2/2026,0.0,0.0,1.0,76.0,AS,Armatura stradale,550.0,SB,Sbraccio su palo,,,,,,,41.87930526831426,12.352883857437892
175384,30/9/2018,13/2/2026,800.0,100.0,1.0,70.0,AS,Armatura stradale,66.0,SB,Sbraccio su palo,,,,,,,41.81070060293371,12.471088263536759
967245,1/1/2023,13/2/2026,800.0,100.0,1.0,54.0,AS,Armatura stradale,2208.0,SB,Sbraccio su palo,,,,,,,41.91584748946057,12.557838980914644
496191,1/6/2018,13/2/2026,300.0,0.0,1.0,70.0,AU,Arredo urbano,189.0,NN,Non noto,,,,,,,42.006003317995,12.522583710426366
850120,1/1/2022,13/2/2026,800.0,200.0,1.0,87.0,AS,Armatura stradale,2209.0,SB,Sbraccio su palo,,,,,,,41.9257418600255,12.695123633506286
901409,1/1/2022,13/2/2026,1000.0,30.0,1.0,150.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.68264718136469,12.381019203027169
408517,4/11/2019,13/2/2026,0.0,0.0,1.0,37.0,AS,Armatura stradale,749.0,NN,Non noto,,,,,,,41.951591030383966,12.346370945820087
1055889,1/6/2023,31/3/2025,,,1.0,30.0,,,,,,,,,,,,41.795636710031715,12.422154404220565
494893,1/1/2020,31/12/2021,0.0,0.0,1.0,78.4,SP,Segnapasso,189.0,IN,Incassato,,,,,,,41.9208158567391,12.373547143949569
594794,1/11/2020,30/12/2021,750.0,200.0,1.0,23.0,AS,Armatura stradale,1460.0,SB,Sbraccio su palo,,,,,,,41.92827052478141,12.375871578589198
426548,1/10/2019,31/10/2020,500.0,0.0,1.0,70.0,PR,Proiettore,276.0,SB,Sbraccio su palo,,,,,,,42.013671859026495,12.44929989892696
1057346,1/1/2024,13/2/2026,700.0,300.0,1.0,25.0,AS,Armatura stradale,3707.0,SB,Sbraccio su palo,,,,,,,41.79525776396864,12.524543753178573
1049280,1/1/2019,13/2/2026,350.0,0.0,1.0,35.0,AU,Arredo urbano,3677.0,TP,Testapalo,,,,,,,41.963465559782605,12.370110816684909
4266,1/1/2018,29/11/2021,800.0,200.0,1.0,100.0,AS,Armatura stradale,237.0,NN,Non noto,,,,,,,41.90966159728537,12.66371963005822
292667,10/11/2016,31/12/2019,0.0,0.0,1.0,100.0,AS,Armatura stradale,23.0,TP,Testapalo,,,,,,,41.884326529927115,12.344114446628254
1003041,1/8/2023,13/2/2026,1050.0,,1.0,150.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.848556660588976,12.479496903617084
1118333,1/1/2024,13/2/2026,550.0,,1.0,40.0,AU,Arredo urbano,3976.0,TP,Testapalo,,,,,,,41.91697494961105,12.416797331434884
806508,1/1/2022,31/12/2025,750.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,ME,Mensola,,,,,,,41.9622965721269,12.344234276384459
198495,28/6/2016,31/12/2021,700.0,0.0,1.0,100.0,AS,Armatura stradale,1241.0,SB,Sbraccio su palo,,,,,,,41.76492892813838,12.36281064551964
1082150,1/1/2019,13/2/2026,800.0,,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.847600471475,12.45844172531266
1188377,1/8/2025,13/2/2026,800.0,,1.0,150.0,AS,Armatura stradale,7.0,TP,Testapalo,,,,,,,41.8681972230717,12.44497658436729
505231,1/1/2020,31/12/2020,1000.0,0.0,1.0,100.0,AS,Armatura stradale,100.0,TP,Testapalo,,,,,,,41.8693923021951,12.494429666421944
22315,1/1/2018,31/12/2021,0.0,0.0,1.0,100.0,AS,Armatura stradale,7.0,NN,Non noto,,,,,,,41.91658403570576,12.523336861312266
35617,1/1/2018,31/12/2020,900.0,0.0,1.0,100.0,AS,Armatura stradale,55.0,TP,Testapalo,,,,,,,41.88094468706439,12.570644156221679
710144,1/1/2022,13/2/2026,600.0,0.0,1.0,57.0,AS,Armatura stradale,722.0,TP,Testapalo,,,,,,,41.84724963397521,12.487342329280189
256526,28/9/2016,31/12/2023,0.0,0.0,1.0,150.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.82715412853829,12.455357522237282
487323,1/1/2020,13/2/2026,800.0,300.0,1.0,30.0,AS,Armatura stradale,550.0,SB,Sbraccio su palo,,,,,,,41.98797280838747,12.513372157469862
592351,1/11/2020,30/12/2021,400.0,0.0,1.0,125.0,SF,Sfera,611.0,TP,Testapalo,,,,,,,41.899843308016976,12.258569464767174
978280,1/7/2023,13/2/2026,30.0,,1.0,8.0,SP,Segnapasso,601.0,IN,Incassato,,,,,,,41.86285824423763,12.392847676857563
805504,1/1/2022,31/12/2025,250.0,0.0,1.0,36.0,PL,Plafoniera,611.0,NN,Non noto,,,,,,,41.78141039230242,12.341283990230545
1268685,1/1/2026,13/2/2026,750.0,,1.0,23.0,AS,Armatura stradale,2297.0,TP,Testapalo,,,,,,,41.89621352539785,12.463017195118733
473251,1/1/2020,13/2/2026,650.0,100.0,1.0,30.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.75817810895931,12.348979338478472
10018,1/1/2018,31/12/2018,1100.0,80.0,1.0,150.0,AS,Armatura stradale,241.0,NN,Non noto,,,,,,,41.92809494404463,12.646898646674128
1249715,1/1/2025,13/2/2026,800.0,0.0,1.0,36.0,AS,Armatura stradale,3670.0,TP,Testapalo,,,,,,,41.90080563126842,12.510030359571829
764628,31/12/2021,31/12/2021,600.0,0.0,1.0,100.0,LA,Lanterna artistica ,1550.0,SB,Sbraccio su palo,,,,,,,42.08140813078661,12.335595749214036
272173,17/10/2016,13/2/2026,0.0,0.0,1.0,70.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.750096207333875,12.530086132687725
869268,1/4/2022,13/2/2026,,,1.0,27.0,AS,Armatura stradale,1718.0,TP,Testapalo,,,,,,,41.74249872045599,12.541474126136299
976589,1/1/2023,31/12/2023,300.0,,1.0,70.0,SF,Sfera,189.0,NN,Non noto,,,,,,,41.89693591496158,12.511538833876305
333595,25/1/2017,28/2/2022,0.0,0.0,1.0,100.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.88387488046432,12.426076681445071
206499,1/8/2016,31/12/2019,0.0,0.0,1.0,70.0,NN,Non noto,189.0,SB,Sbraccio su palo,,,,,,,41.88444042875364,12.404211000220055
593956,1/11/2020,30/12/2021,400.0,0.0,1.0,125.0,SF,Sfera,1496.0,TP,Testapalo,,,,,,,41.985542770809666,12.489801149080073
731699,1/1/2022,31/1/2022,400.0,0.0,1.0,125.0,SF,Sfera,599.0,TP,Testapalo,,,,,,,41.98638437524046,12.518203123199873
991564,1/7/2023,13/2/2026,900.0,,1.0,100.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.91075107761436,12.611729168753282
1151492,1/1/2024,13/2/2026,900.0,150.0,1.0,35.0,AS,Armatura stradale,2168.0,SB,Sbraccio su palo,,,,,,,41.89836266537597,12.494975874673319
372461,8/6/2018,13/2/2026,1200.0,0.0,1.0,250.0,AS,Armatura stradale,1205.0,NN,Non noto,,,,,,,41.87280887501312,12.58672527766994
412844,4/11/2019,13/2/2026,450.0,150.0,1.0,150.0,AS,Armatura stradale,189.0,ME,Mensola,,,,,,,41.9171119298668,12.422587362606647
989277,1/7/2023,13/2/2026,1000.0,100.0,1.0,250.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.927204395566434,12.697655854157928
126989,1/1/2018,31/10/2020,0.0,0.0,1.0,40.0,AS,Armatura stradale,550.0,SB,Sbraccio su palo,,,,,,,41.92127017311398,12.517615102048413
70923,1/1/2018,19/5/2020,0.0,0.0,1.0,54.0,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.85642900355602,12.689061690273027
537378,1/1/2020,31/12/2024,700.0,200.0,1.0,100.0,AS,Armatura stradale,262.0,SB,Sbraccio su palo,,,,,,,41.8616066326458,12.354177787078342
758215,31/12/2021,31/12/2021,750.0,0.0,1.0,30.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.86126946175134,12.706053793518373
1168356,1/1/2025,13/2/2026,700.0,100.0,1.0,70.0,AS,Armatura stradale,206.0,SB,Sbraccio su palo,,,,,,,42.00600650881545,12.313943613496503
612977,1/11/2020,30/12/2021,900.0,0.0,1.0,125.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.852436605625854,12.546876899392975
1188253,1/8/2025,13/2/2026,900.0,,1.0,52.0,AS,Armatura stradale,1867.0,TP,Testapalo,,,,,,,41.86105025749123,12.497945065115522
270610,17/10/2016,13/2/2026,0.0,0.0,1.0,70.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.749560871391985,12.380960558151347
704900,1/1/2022,5/8/2024,800.0,150.0,1.0,57.0,AS,Armatura stradale,722.0,SB,Sbraccio su palo,,,,,,,41.900999226125165,12.66570412134163
530720,1/1/2020,13/2/2026,850.0,150.0,1.0,150.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.928443201807276,12.576475164439778
440950,1/10/2019,31/10/2020,800.0,0.0,1.0,125.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.75088732484163,12.501071869683551
1036428,1/1/2024,13/2/2026,800.0,0.0,1.0,150.0,AS,Armatura stradale,995.0,TP,Testapalo,,,,,,,41.99737225275496,12.391834301063072
597914,1/11/2020,30/12/2021,750.0,0.0,1.0,125.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.84191629055275,12.38519795232025
880236,1/6/2022,31/12/2023,200.0,0.0,1.0,100.0,PL,Plafoniera,189.0,NN,Non noto,,,,,,,41.82849063096794,12.33158740227734
22019,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,PR,Proiettore,179.0,NN,Non noto,,,,,,,41.88717075889336,12.5313392675732
78249,1/1/2018,13/2/2026,0.0,0.0,1.0,54.0,AS,Armatura stradale,550.0,SB,Sbraccio su palo,,,,,,,41.767639853327815,12.34712452144339
950371,1/2/2022,13/2/2026,450.0,0.0,1.0,31.5,AU,Arredo urbano,1813.0,TP,Testapalo,,,,,,,41.76300292052449,12.469703725281216
903414,1/1/2022,13/2/2026,1000.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.87309472729772,12.401671766912447
634740,1/11/2020,13/2/2026,600.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.94354637502347,12.517013347090034
1233082,1/1/2025,13/2/2026,850.0,200.0,1.0,35.0,AS,Armatura stradale,2089.0,SB,Sbraccio su palo,,,,,,,41.82389155066243,12.30527597316802
1027303,1/1/2023,13/2/2026,0.0,,1.0,33.4,AS,Armatura stradale,1362.0,SB,Sbraccio su palo,,,,,,,41.91330122040492,12.532299115553661
1078487,1/1/2024,31/12/2024,500.0,50.0,1.0,70.0,LA,Lanterna artistica ,2065.0,,,,,,,,,41.975496564434394,12.56374083958326
307040,2/12/2016,31/12/2019,0.0,0.0,1.0,150.0,NN,Non noto,283.0,NN,Non noto,,,,,,,42.07488578660628,12.33296298659536
85555,1/1/2018,13/2/2026,1000.0,100.0,1.0,0.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.93211205938841,12.513795704171368
1042064,3/1/2024,13/2/2026,700.0,200.0,1.0,40.0,AS,Armatura stradale,774.0,SB,Sbraccio su palo,,,,,,,41.95104188677167,12.429555681514321
879182,1/1/2023,13/2/2026,10.0,,1.0,76.0,AS,Armatura stradale,1867.0,TP,Testapalo,,,,,,,41.825188653210745,12.484315877317936
662624,1/1/2021,3/4/2022,1000.0,0.0,1.0,100.0,AS,Armatura stradale,391.0,TP,Testapalo,,,,,,,41.897594789443325,12.383449634587977
1265161,1/1/2026,13/2/2026,500.0,0.0,1.0,51.0,AS,Armatura stradale,425.0,TP,Testapalo,,,,,,,42.00168786797569,12.242710473578372
1290412,1/1/2026,13/2/2026,0.0,0.0,1.0,49.0,LA,Lanterna artistica ,1541.0,NN,Non noto,,,,,,,41.88377953734313,12.470202203769501
466683,1/1/2020,19/10/2020,1100.0,400.0,1.0,400.0,AS,Armatura stradale,1363.0,SB,Sbraccio su palo,,,,,,,41.936084298034096,12.613806029741259
1160377,1/1/2025,13/2/2026,0.0,0.0,1.0,21.5,AU,Arredo urbano,655.0,TP,Testapalo,,,,,,,41.75768903033351,12.377158435812284
530887,1/1/2020,13/2/2026,850.0,150.0,1.0,150.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.976506006243056,12.506183281530564
1070821,1/7/2012,13/2/2026,,0.0,1.0,100.0,AS,Armatura stradale,189.0,SO,Sospensione,,,,,,,41.921040455617664,12.758906031142411
383221,10/7/2019,31/12/2022,800.0,0.0,1.0,100.0,AS,Armatura stradale,23.0,TP,Testapalo,,,,,,,41.7323133300677,12.291965492901728
1024735,1/1/2024,13/2/2026,400.0,,1.0,27.0,AU,Arredo urbano,1745.0,TP,Testapalo,,,,,,,41.836474663122765,12.458286978131905
1227295,1/1/2025,13/2/2026,600.0,100.0,1.0,20.0,LA,Lanterna artistica ,4394.0,ME,Mensola,,,,,,,41.81904886887427,12.61046908427056
243553,9/9/2016,31/12/2019,900.0,0.0,1.0,70.0,AS,Armatura stradale,1098.0,SB,Sbraccio su palo,,,,,,,41.872294340477495,12.341696398020654
174821,30/9/2018,13/2/2026,700.0,500.0,4.0,36.0,SS,Segnaletica luminosa stradale,3441.0,SB,Sbraccio su palo,,,,,,,41.8775916535167,12.58514412286196
989285,1/7/2023,13/2/2026,1000.0,200.0,1.0,250.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.85957168360945,12.700634489814007
607144,1/11/2020,30/12/2021,800.0,0.0,1.0,100.0,AU,Arredo urbano,225.0,TP,Testapalo,,,,,,,41.77111274727597,12.350089404461182
486647,1/1/2020,13/2/2026,800.0,50.0,1.0,100.0,AS,Armatura stradale,206.0,ME,Mensola,,,,,,,41.92814868425859,12.520423928854528
675394,1/1/2021,13/2/2026,0.0,0.0,1.0,70.0,NN,Non noto,189.0,TP,Testapalo,,,,,,,41.95153217443351,12.378700980467642
1097511,1/5/2024,13/2/2026,500.0,0.0,1.0,54.8,AS,Armatura stradale,1317.0,TP,Testapalo,,,,,,,41.8287819222654,12.387265116592053
1043911,1/1/2019,13/2/2026,720.0,0.0,1.0,37.0,AS,Armatura stradale,1941.0,NN,Non noto,,,,,,,41.73436392609485,12.359748585438595
1251934,1/1/2025,13/2/2026,0.0,0.0,1.0,17.0,SP,Segnapasso,613.0,IN,Incassato,,,,,,,41.91890694730107,12.412117779474835
539266,1/1/2020,31/12/2024,300.0,0.0,1.0,0.0,AU,Arredo urbano,550.0,TP,Testapalo,,,,,,,41.98076577703327,12.555079341247048
420310,1/10/2019,31/10/2020,800.0,0.0,1.0,70.0,AS,Armatura stradale,7.0,SB,Sbraccio su palo,,,,,,,41.889847204920926,12.567628406766172
552786,19/12/2019,13/2/2026,800.0,100.0,1.0,28.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.930287355574514,12.49007772597903
290114,10/11/2016,31/12/2019,800.0,0.0,1.0,100.0,AS,Armatura stradale,1177.0,TP,Testapalo,,,,,,,41.92317473945181,12.329590156989832
61949,1/1/2018,31/12/2021,0.0,0.0,1.0,400.0,PR,Proiettore,484.0,TP,Testapalo,,,,,,,41.93636101200047,12.646087907982123
1289692,1/1/2026,13/2/2026,800.0,,1.0,29.0,AS,Armatura stradale,1362.0,SB,Sbraccio su palo,,,,,,,41.78022667979342,12.439563659843936
706082,1/1/2022,13/2/2026,800.0,0.0,1.0,75.0,PR,Proiettore,672.0,MU,A muro o parete,,,,,,,41.78880172373142,12.393711160075709
429322,1/10/2019,31/10/2020,700.0,0.0,1.0,125.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.890487937101305,12.566275076574414
1289194,1/1/2026,13/2/2026,800.0,0.0,1.0,36.5,AS,Armatura stradale,1362.0,TP,Testapalo,,,,,,,41.8526298484933,12.497890631426552
