arm_altezza,arm_lmp_potenza_nominale,conteggio_righe
520,32.0,1
520,37.0,4
520,38.0,2
520,42.0,2
520,70.0,1
520,100.0,2
550,17.0,2
550,19.0,1
550,20.0,2
550,21.5,2
550,22.0,23
550,23.0,1
550,25.0,1
550,26.0,1
550,27.0,1
550,28.0,1
550,29.0,3
550,30.0,6
550,30.5,2
550,32.0,1
550,35.0,4
550,38.0,4
550,39.0,1
550,41.0,4
550,44.0,2
550,49.0,1
550,50.0,1
550,70.0,72
550,100.0,24
550,125.0,1
550,136.0,1
550,150.0,2
550,200.0,2
580,150.0,2
600,4.0,4
600,14.0,1
600,16.0,2
600,17.0,5
600,18.0,1
600,20.0,11
600,21.0,4
600,22.0,13
600,25.0,1
600,26.0,2
600,27.0,5
600,28.0,9
600,29.0,2
600,30.0,17
600,30.1,1
600,30.8,1
600,31.0,3
600,32.0,42
600,34.0,8
600,35.0,16
600,36.0,3
600,38.0,14
600,39.0,3
600,40.0,4
600,40.5,4
600,41.0,14
600,42.0,2
600,43.0,1
600,45.0,3
600,46.0,1
600,48.0,1
600,49.0,1
600,50.0,17
600,53.0,9
600,57.0,3
600,58.0,1
600,60.0,4
600,67.0,1
600,70.0,124
600,72.0,1
600,74.0,1
600,75.0,4
600,76.0,1
600,90.0,7
600,92.0,1
600,100.0,116
600,102.0,1
600,105.0,1
600,106.0,1
600,125.0,6
600,150.0,31
600,250.0,4
620,100.0,1
650,15.0,1
650,20.0,1
650,22.0,6
650,24.3,4
650,25.0,1
650,26.4,1
650,27.0,6
650,30.0,12
650,30.3,1
650,32.0,1
650,35.0,2
650,38.0,4
650,40.0,2
650,40.5,2
650,41.0,3
650,45.0,1
650,48.0,1
650,50.0,4
650,51.0,1
650,52.0,1
650,53.0,2
650,54.0,4
650,55.0,1
650,56.0,1
650,70.0,54
650,100.0,31
650,125.0,6
650,150.0,22
650,220.0,2
650,250.0,1
680,29.0,1
700,0.0,4
700,15.0,1
700,17.0,1
700,20.0,3
700,21.5,1
700,22.0,4
700,23.0,2
700,24.0,1
700,25.0,1
700,26.0,2
700,27.0,16
700,27.5,2
700,28.0,3
700,30.0,16
700,31.0,2
700,32.0,17
700,34.0,1
700,35.0,12
700,37.0,7
700,38.0,10
700,39.0,3
700,40.0,1
700,40.5,2
700,41.0,6
700,43.0,1
700,45.0,4
700,46.0,1
700,46.3,1
700,48.0,1
700,49.0,2
700,50.0,14
700,53.0,3
700,54.0,5
700,55.0,1
700,57.0,1
700,58.0,8
700,60.0,14
700,61.0,1
700,63.0,1
700,67.0,2
700,70.0,193
700,75.0,2
700,80.0,6
700,86.0,1
700,90.0,1
700,100.0,178
700,105.0,1
700,106.0,1
700,125.0,82
700,150.0,53
700,157.0,1
700,160.0,1
700,250.0,4
720,33.0,1
720,51.0,1
720,53.0,4
720,70.0,1
720,100.0,4
740,100.0,1
740,150.0,3
750,21.0,5
750,26.0,3
750,27.0,12
750,29.0,3
750,30.0,11
750,32.0,1
750,34.0,1
750,35.0,1
750,37.0,2
750,38.0,4
750,40.0,1
750,41.0,7
750,45.0,1
750,50.0,2
750,52.0,1
750,53.0,5
750,55.0,2
750,57.0,1
750,58.0,1
750,59.0,6
750,70.0,21
750,75.0,1
750,80.0,2
750,90.0,1
750,100.0,94
750,125.0,48
750,150.0,26
750,250.0,7
750,412.0,6
800,0.0,2
800,15.0,1
800,16.0,2
800,18.4,3
800,19.0,5
800,20.0,3
800,22.0,6
800,23.0,6
800,24.0,3
800,25.0,5
800,26.0,8
800,27.0,133
800,28.0,24
800,28.7,2
800,29.0,5
800,30.0,21
800,31.0,3
800,32.0,106
800,32.1,3
800,33.0,1
800,34.0,1
800,35.0,13
800,35.5,1
800,36.0,1
800,37.0,19
800,38.0,63
800,39.0,3
800,40.0,9
800,41.0,31
800,41.4,2
800,42.0,6
800,43.0,8
800,44.0,2
800,45.0,29
800,45.5,5
800,46.0,8
800,46.3,2
800,47.0,2
800,48.0,1
800,49.0,9
800,50.0,50
800,51.0,4
800,52.0,2
800,53.0,13
800,54.0,6
800,55.0,2
800,56.0,4
800,57.0,8
800,58.0,7
800,59.0,3
800,60.0,1
800,62.0,1
800,63.0,4
800,65.0,1
800,66.0,2
800,67.0,8
800,70.0,573
800,72.0,6
800,73.0,6
800,74.0,9
800,75.3,1
800,76.0,5
800,76.4,1
800,78.0,5
800,79.0,1
800,80.0,3
800,81.0,1
800,84.0,2
800,85.0,1
800,87.0,2
800,89.0,1
800,90.0,76
800,92.0,2
800,100.0,694
800,106.0,1
800,110.0,2
800,115.0,1
800,117.0,1
800,125.0,439
800,133.0,1
800,150.0,283
800,220.0,1
800,250.0,43
800,400.0,2
820,36.0,2
820,43.0,1
820,52.0,2
820,56.0,2
820,65.0,1
820,70.0,5
820,100.0,74
840,70.0,1
850,22.0,1
850,27.0,3
850,32.0,6
850,34.4,1
850,38.9,1
850,39.0,2
850,40.0,2
850,42.0,4
850,43.0,1
850,45.0,3
850,50.0,12
850,53.0,4
850,54.0,5
850,56.0,1
850,58.0,1
850,63.0,2
850,66.0,1
850,67.0,1
850,70.0,38
850,74.0,6
850,75.0,1
850,80.0,10
850,100.0,78
850,125.0,22
850,150.0,54
880,100.0,1
880,150.0,4
900,0.0,7
900,18.4,1
900,21.0,2
900,23.0,1
900,25.0,2
900,26.0,4
900,26.5,1
900,27.0,12
900,28.0,4
900,29.0,1
900,30.0,13
900,32.0,3
900,33.0,1
900,34.0,1
900,35.0,2
900,36.0,6
900,37.0,1
900,38.0,8
900,38.5,1
900,39.0,1
900,41.0,25
900,42.0,5
900,43.0,3
900,45.0,9
900,45.5,8
900,46.0,2
900,46.1,1
900,47.0,1
900,48.0,4
900,49.0,2
900,50.0,24
900,51.0,2
900,52.0,4
900,53.0,14
900,54.0,4
900,56.0,2
900,57.0,3
900,58.0,4
900,59.0,2
900,60.0,38
900,61.0,2
900,62.0,1
900,63.0,1
900,65.0,1
900,66.0,13
900,67.0,5
900,69.0,2
900,70.0,96
900,72.0,5
900,73.0,5
900,74.0,5
900,75.0,2
900,76.0,3
900,77.0,1
900,80.0,2
900,84.0,2
900,85.0,1
900,87.0,3
900,88.0,1
900,89.0,4
900,90.0,1
900,100.0,408
900,110.0,1
900,115.0,5
900,116.0,2
900,117.0,1
900,125.0,16
900,136.0,1
900,150.0,279
900,174.0,1
900,250.0,43
920,30.0,1
920,50.0,1
920,56.0,1
920,103.0,1
920,150.0,33
920,172.0,2
930,37.0,3
940,100.0,1
950,22.0,2
950,25.0,1
950,31.0,1
950,34.0,6
950,36.0,2
950,39.0,2
950,41.0,1
950,42.0,1
950,49.0,1
950,50.0,4
950,53.0,1
950,57.0,2
950,57.3,1
950,58.0,1
950,59.0,3
950,70.0,10
950,71.0,1
950,72.0,6
950,79.0,1
950,80.0,1
950,85.0,1
950,87.0,1
950,89.0,1
950,100.0,9
950,120.0,1
950,150.0,16
950,250.0,4
980,47.0,1
980,150.0,7
980,250.0,1
1000,21.0,2
1000,22.0,6
1000,25.0,10
1000,27.0,2
1000,28.0,16
1000,30.0,12
1000,35.0,2
1000,39.0,1
1000,41.0,2
1000,44.0,1
1000,48.1,1
1000,50.0,12
1000,51.0,1
1000,51.5,1
1000,54.0,6
1000,55.0,1
1000,57.0,2
1000,59.0,3
1000,61.0,1
1000,63.0,1
1000,66.0,3
1000,70.0,25
1000,71.0,3
1000,73.0,1
1000,74.0,5
1000,76.0,1
1000,77.0,1
1000,84.0,3
1000,89.0,1
1000,90.0,2
1000,100.0,106
1000,110.0,2
1000,111.0,1
1000,115.0,1
1000,125.0,1
1000,150.0,120
1000,250.0,46
1000,400.0,14
1020,250.0,5
1030,80.0,1
1050,19.0,3
1050,25.0,3
1050,38.9,2
1050,43.0,1
1050,50.0,1
1050,57.3,2
1050,70.0,2
1050,73.0,2
1050,100.0,3
1050,150.0,7
1100,21.0,3
1100,25.0,13
1100,30.0,2
1100,35.0,2
1100,39.0,1
1100,41.0,5
1100,45.0,1
1100,50.0,1
1100,66.0,2
1100,71.0,3
1100,78.0,1
1100,80.0,1
1100,84.0,1
1100,100.0,6
1100,105.0,4
1100,150.0,12
1100,250.0,35
1100,400.0,2
1120,70.0,1
1120,250.0,15
1150,70.0,1
1150,100.0,2
1150,150.0,7
1200,0.0,1
1200,21.0,29
1200,25.0,43
1200,30.0,46
1200,35.0,6
1200,36.0,1
1200,40.0,5
1200,47.0,1
1200,50.0,2
1200,52.0,3
1200,66.0,6
1200,67.0,2
1200,70.0,11
1200,71.0,1
1200,72.0,8
1200,76.0,1
1200,79.0,9
1200,84.0,4
1200,89.5,1
1200,91.0,3
1200,94.0,1
1200,100.0,87
1200,106.0,3
1200,109.0,4
1200,110.0,2
1200,128.0,1
1200,129.0,4
1200,138.0,1
1200,150.0,31
1200,250.0,37
1200,400.0,10
1220,400.0,6
1250,100.0,4
1250,150.0,3
1300,85.0,1
1400,70.0,1
1400,72.0,25
1400,77.0,3
1400,150.0,3
1400,297.0,10
1400,400.0,7
1400,600.0,3
1500,102.0,12
1500,250.0,14
1500,400.0,14
1600,400.0,5
1800,250.0,2
1800,400.0,43
1800,412.0,4
1800,500.0,6
2000,106.0,4
2000,297.0,8
2500,400.0,16
2500,600.0,6
2500,1000.0,6
3000,400.0,12
5000,20.0,1
6000,40.0,4
7000,39.0,1
8000,52.0,1
