arm_id,arm_altezza,arm_lmp_potenza_nominale,tmo_id,giorni_guasto,giorni_osservati_finora,pred_giorni_al_guasto,pred_giorni_residui
400007,650.0,70.0,611.0,0,2389.0,2.1724202e+06,2170031.25
998984,900.0,100.0,189.0,0,964.0,721.4503,0.0
1287081,800.0,29.0,1362.0,0,49.0,86.16344,37.16343688964844
1202350,1000.0,110.0,2432.0,0,324.0,174.62471,0.0
653223,0.0,33.9,722.0,0,1936.0,2.2000878e+10,22000875632.0
1251668,800.0,28.0,749.0,0,414.0,251.6557,0.0
912875,900.0,87.0,605.0,0,1390.0,23220.541,21830.541015625
693131,700.0,70.0,189.0,0,1510.0,1.3880451e+08,138803002.0
1297274,850.0,36.0,4768.0,0,24.0,33.193962,9.193962097167969
312720,0.0,110.0,189.0,0,3366.0,2.9342212e+10,29342208730.0
1274614,300.0,20.0,2804.0,0,49.0,45.173317,0.0
1291610,500.0,13.5,1811.0,0,49.0,198.35779,149.3577880859375
1061476,900.0,20.5,3723.0,0,780.0,283.8258,0.0
637673,0.0,76.0,550.0,0,1936.0,413382.62,411446.625
739163,0.0,100.0,1278.0,0,1390.0,3932.3662,2542.3662109375
963692,550.0,35.0,600.0,0,1145.0,6398.7554,5253.75537109375
153156,820.0,100.0,53.0,0,2711.0,2.2871524e+09,2287149673.0
725909,0.0,16.5,750.0,0,1410.0,72.71757,0.0
185836,0.0,28.0,1317.0,0,2450.0,1.5582616e+07,15580166.0
1257480,800.0,28.0,1867.0,0,49.0,33.43512,0.0
1117852,550.0,70.0,189.0,0,780.0,1237.3693,457.3692626953125
1138924,0.0,25.5,189.0,0,1773.0,1586.6453,0.0
717402,350.0,21.0,1860.0,0,1510.0,2.0798092e+06,2078299.25
852721,500.0,43.0,2611.0,0,1510.0,5.710813e+08,571079770.0
888185,800.0,40.0,189.0,0,1541.0,9277.128,7736.1279296875
1094636,700.0,27.0,754.0,0,1875.0,50804.203,48929.203125
1064630,0.0,59.2,719.0,0,780.0,1255.8646,475.8646240234375
1301446,450.0,15.0,3733.0,0,414.0,726.9101,312.91009521484375
399945,800.0,30.0,613.0,0,2389.0,3.0957434e+08,309571947.0
894015,400.0,70.0,189.0,0,1390.0,1548.9072,158.9072265625
1199491,800.0,34.0,2406.0,0,324.0,449.4048,125.40478515625
699889,1050.0,75.0,1867.0,0,1510.0,6.831308e+07,68311570.0
531753,1000.0,20.0,211.0,0,2241.0,3.3112458e+07,33110217.0
1137712,800.0,100.0,66.0,0,355.0,334.82968,0.0
156753,820.0,100.0,241.0,0,2711.0,2.613307e+10,26133067113.0
866839,850.0,28.0,2781.0,0,1510.0,88214.914,86704.9140625
1124966,800.0,150.0,2025.0,0,1510.0,546789.75,545279.75
999287,900.0,100.0,189.0,0,964.0,721.4503,0.0
966066,900.0,42.0,2208.0,0,1145.0,3036.817,1891.81689453125
309434,0.0,70.0,261.0,0,3366.0,1.2645432e+08,126450954.0
1206836,0.0,70.0,2065.0,0,202.0,848.5385,646.5385131835938
163273,0.0,100.0,830.0,0,2711.0,1.5214766e+07,15212055.0
1142774,800.0,57.0,722.0,0,332.0,226.17035,0.0
488953,900.0,150.0,9.0,0,2241.0,1.079543e+07,10793189.0
372710,1200.0,250.0,1205.0,0,2813.0,1.7646419e+12,1764641862915.0
938434,0.0,21.0,776.0,0,1145.0,5424.409,4279.4091796875
639119,1500.0,400.0,468.0,0,1936.0,2.7381016e+07,27379080.0
456729,550.0,30.0,1619.0,0,2241.0,9.258984e+09,9258982207.0
1212725,500.0,75.0,1867.0,0,171.0,131.79007,0.0
870449,0.0,51.0,2270.0,0,1510.0,338.20566,0.0
925109,900.0,70.0,1220.0,0,1145.0,1416.8451,271.8450927734375
639460,350.0,40.0,769.0,0,1936.0,2.0948677e+11,209486772336.0
177473,900.0,70.0,53.0,0,2699.0,1.5416967e+10,15416964469.0
1270810,750.0,23.0,2297.0,0,49.0,52.967102,3.96710205078125
636640,0.0,35.0,754.0,0,1936.0,1.902675e+11,190267504752.0
642169,0.0,70.0,189.0,0,1936.0,1.3359065e+06,1333970.5
1069671,400.0,21.5,776.0,0,780.0,2204.5273,1424.52734375
991127,900.0,100.0,189.0,0,964.0,721.4503,0.0
1040290,0.0,50.0,189.0,0,720.0,1.6447313e+10,16447312176.0
927469,800.0,100.0,104.0,0,1145.0,1489.9994,344.9993896484375
1212692,650.0,50.0,613.0,0,3702.0,4.297107e+13,42971068101002.0
1162285,0.0,41.5,550.0,0,414.0,105.521034,0.0
993210,1000.0,150.0,189.0,0,964.0,877.5366,0.0
1154345,800.0,90.0,2065.0,0,233.0,703.1882,470.18817138671875
1271227,450.0,13.0,1344.0,0,49.0,41.3941,0.0
1133441,300.0,20.0,2177.0,0,780.0,726.354,0.0
739773,0.0,41.0,1718.0,0,1390.0,342.40695,0.0
924467,1000.0,54.0,2947.0,0,1145.0,4361.234,3216.23388671875
1231830,650.0,30.0,2089.0,0,414.0,439.25272,25.252716064453125
409446,0.0,27.0,830.0,0,2299.0,1.4402818e+06,1437982.75
1020039,400.0,70.0,3417.0,0,1114.0,1564.5729,450.5728759765625
1102802,750.0,95.0,3360.0,0,780.0,1109.4377,329.437744140625
185445,0.0,41.0,1317.0,0,2450.0,401961.6,399511.59375
1114585,500.0,25.0,3930.0,0,780.0,2508.9128,1728.912841796875
751654,600.0,21.5,2249.0,0,1510.0,746454.1,744944.125
946634,20.0,20.0,3212.0,0,1145.0,1.7984664e+06,1797321.375
1121346,700.0,100.0,2065.0,0,414.0,1360.944,946.9439697265625
711181,1300.0,75.0,2108.0,0,1510.0,1.5094653e+13,15094653123098.0
1256276,800.0,38.0,2297.0,0,49.0,49.152313,0.152313232421875
313263,0.0,98.0,124.0,0,3366.0,4.718924e+12,4718923870938.0
851234,800.0,56.0,2208.0,0,1510.0,5.8719476e+13,58719475857946.0
173851,1000.0,125.0,166.0,0,2699.0,3.2768874e+16,3.2768873891624308e+16
1123369,0.0,150.0,1625.0,0,475.0,348.6218,0.0
640529,900.0,100.0,189.0,0,1936.0,2.253242e+07,22530484.0
783113,800.0,37.0,758.0,0,1510.0,8.731099e+06,8729589.0
659298,550.0,45.0,1995.0,0,1875.0,9.120754e+08,912073517.0
1284371,800.0,35.0,1803.0,0,1145.0,5792.6646,4647.66455078125
1018531,0.0,19.0,1336.0,0,1694.0,3983.534,2289.533935546875
399710,700.0,100.0,640.0,0,2389.0,7.2356715e+06,7233282.5
643933,750.0,32.0,751.0,0,1936.0,7.923289e+10,79232890992.0
720003,800.0,94.0,1384.0,0,1528.0,23912.49,22384.490234375
1293575,800.0,18.4,1362.0,0,49.0,86.0125,37.01249694824219
328522,0.0,110.0,261.0,0,3366.0,8.806103e+10,88061022938.0
639754,750.0,29.0,772.0,0,1936.0,1.06794746e+11,106794743920.0
1002687,1200.0,120.0,189.0,0,933.0,6.090576,0.0
468281,800.0,100.0,1374.0,0,2241.0,1.8977384e+07,18975143.0
1176170,700.0,35.0,189.0,0,233.0,211.60423,0.0
1299666,600.0,15.0,3360.0,0,414.0,225.03629,0.0
749217,600.0,21.0,2259.0,0,1510.0,746454.1,744944.125
1245979,800.0,25.2,1051.0,0,263.0,684.2714,421.27142333984375
1150495,900.0,27.5,750.0,0,414.0,1792.622,1378.6219482421875
488674,600.0,35.0,1612.0,0,2241.0,5.0170276e+09,5017025343.0
637693,0.0,76.0,550.0,0,1936.0,413382.62,411446.625
1056981,800.0,55.0,3707.0,0,780.0,1798.847,1018.8470458984375
1084529,850.0,54.0,3670.0,0,780.0,2096.294,1316.2939453125
1020075,700.0,39.0,3414.0,0,1114.0,2728.0078,1614.0078125
183985,800.0,38.0,1311.0,0,2564.0,1.1491939e+07,11489375.0
627065,0.0,100.0,393.0,0,1936.0,334318.25,332382.25
460819,450.0,50.0,1051.0,0,2241.0,1.8646999e+11,186469988159.0
482646,1000.0,150.0,433.0,0,2241.0,4.078297e+07,40780727.0
992458,1000.0,100.0,189.0,0,964.0,710.54376,0.0
651738,1200.0,30.0,754.0,0,1936.0,1.4338044e+09,1433802480.0
649699,500.0,70.0,211.0,0,1936.0,1.1830889e+07,11828953.0
926809,1100.0,150.0,104.0,0,1145.0,1482.4137,337.4136962890625
1120444,800.0,100.0,157.0,0,780.0,518.0763,0.0
1060617,900.0,30.0,3723.0,0,780.0,829.0743,49.07427978515625
1228011,900.0,80.0,2065.0,0,414.0,1520.2856,1106.28564453125
1284395,800.0,63.0,358.0,0,1145.0,10114.878,8969.8779296875
679325,400.0,50.0,613.0,0,1875.0,2.1058802e+07,21056927.0
850557,900.0,17.0,2208.0,0,1510.0,1.7614024e+07,17612514.0
459461,800.0,30.0,613.0,0,2241.0,1.1695364e+09,1169534143.0
341714,0.0,0.0,189.0,0,3278.0,7.863665e+09,7863661874.0
697791,400.0,32.0,189.0,0,1510.0,2.730938e+09,2730936602.0
484568,800.0,70.0,1371.0,0,2241.0,1.4510363e+07,14508122.0
1264408,800.0,35.0,1379.0,0,49.0,29.535162,0.0
166891,820.0,100.0,241.0,0,2711.0,2.613307e+10,26133067113.0
397361,800.0,70.0,613.0,0,2389.0,9.594881e+06,9592492.0
1288080,500.0,19.0,1811.0,0,49.0,164.30934,115.30934143066406
620718,0.0,60.0,144.0,0,1936.0,1.2244245e+06,1222488.5
1146399,900.0,35.0,2089.0,0,414.0,388.67007,0.0
944348,0.0,56.0,122.0,0,1145.0,47.524773,0.0
274264,0.0,100.0,189.0,0,3412.0,2.0237371e+10,20237367980.0
1269675,300.0,10.0,2292.0,0,49.0,46.61484,0.0
625122,0.0,38.0,755.0,0,1936.0,5.5529222e+10,55529220208.0
471542,950.0,150.0,1373.0,0,2241.0,3.1026164e+07,31023923.0
1257328,700.0,19.0,2297.0,0,49.0,52.306152,3.30615234375
937882,0.0,22.0,3075.0,0,1145.0,70185.73,69040.7265625
1018932,0.0,50.0,189.0,0,1694.0,1191.6772,0.0
278748,0.0,70.0,194.0,0,3412.0,3.296425e+11,329642504876.0
692410,800.0,40.0,189.0,0,1510.0,2.805948e+10,28059478554.0
707933,750.0,67.0,722.0,0,1510.0,4.966277e+07,49661258.0
647191,0.0,100.0,189.0,0,1936.0,1.3535965e+06,1351660.5
869161,0.0,32.0,1718.0,0,1420.0,29373.564,27953.564453125
1286310,0.0,35.0,2065.0,0,110.0,98.13212,0.0
1036146,0.0,30.0,3647.0,0,780.0,8188.2,7408.2001953125
745753,800.0,30.0,2201.0,0,1510.0,1.7153609e+06,1713850.875
944662,0.0,48.0,358.0,0,1145.0,630.8961,0.0
312200,0.0,110.0,261.0,0,3366.0,8.806103e+10,88061022938.0
1245066,400.0,19.9,2165.0,0,263.0,1617.7515,1354.75146484375
407504,800.0,76.0,749.0,0,2299.0,5.0292764e+07,50290465.0
488343,800.0,100.0,9.0,0,2241.0,2.66749e+07,26672659.0
1156196,1000.0,250.0,613.0,0,414.0,308.13922,0.0
674329,0.0,37.0,749.0,0,1875.0,2.5017095e+06,2499834.5
1030284,300.0,70.0,457.0,0,797.0,4413.653,3616.65283203125
1231200,800.0,75.0,2089.0,0,414.0,549.5151,135.51507568359375
274420,0.0,100.0,189.0,0,3412.0,2.0237371e+10,20237367980.0
1183711,420.0,28.0,1745.0,0,414.0,1127.7173,713.71728515625
1034170,800.0,60.0,100.0,0,780.0,1661.5115,881.511474609375
653683,820.0,76.0,550.0,0,1936.0,6.004017e+07,60038232.0
376976,1000.0,150.0,640.0,0,2416.0,3.1745105e+06,3172094.5
687340,0.0,22.0,550.0,0,1654.0,3.8687804e+07,38686150.0
1287315,0.0,49.0,1541.0,0,49.0,890.3261,841.3261108398438
321694,0.0,70.0,189.0,0,3366.0,4.6737265e+09,4673723098.0
968112,900.0,56.0,2208.0,0,1145.0,1736.9758,591.975830078125
739687,0.0,41.0,1718.0,0,1390.0,342.40695,0.0
970709,400.0,31.0,3062.0,0,1145.0,2018.5671,873.567138671875
1015910,500.0,29.0,2993.0,0,1875.0,2.2577301e+08,225771133.0
1040678,0.0,40.0,189.0,0,720.0,35.43263,0.0
1071225,0.0,100.0,189.0,0,4981.0,1.8755604e+10,18755599499.0
1253918,900.0,25.0,772.0,0,49.0,30.50652,0.0
495647,700.0,40.5,941.0,0,2820.0,1.6234403e+13,16234402804988.0
910134,350.0,70.0,2769.0,0,1390.0,1823.0114,433.0113525390625
1153214,650.0,25.0,2201.0,0,780.0,1901.588,1121.5880126953125
407795,900.0,29.0,225.0,0,2299.0,8.0033064e+07,80030765.0
1001060,800.0,150.0,189.0,0,933.0,1000.05115,67.0511474609375
275082,0.0,100.0,189.0,0,3412.0,2.0237371e+10,20237367980.0
1018566,0.0,70.0,189.0,0,1694.0,1199.9886,0.0
1054705,800.0,21.0,1803.0,0,1510.0,6.146178e+06,6144668.0
1110113,550.0,50.0,3949.0,0,780.0,663.7523,0.0
164406,620.0,70.0,50.0,0,2711.0,2.320923e+08,232089593.0
530372,850.0,100.0,189.0,0,2241.0,5.86348e+07,58632559.0
670435,400.0,45.0,286.0,0,1875.0,8.781186e+08,878116717.0
138066,0.0,42.5,550.0,0,2887.0,1.8233526e+10,18233523385.0
485241,800.0,50.0,613.0,0,2241.0,1.4917143e+09,1491712063.0
1205639,0.0,18.0,613.0,0,1145.0,7791.6343,6646.63427734375
934103,0.0,,550.0,0,1021.0,998.39685,0.0
987441,1000.0,50.0,1803.0,0,1145.0,4044.1592,2899.1591796875
1025950,0.0,80.0,189.0,0,1145.0,1062.4733,0.0
1249107,950.0,54.0,3670.0,0,414.0,476.93323,62.9332275390625
1254169,800.0,81.0,2286.0,0,49.0,39.64274,0.0
1046459,950.0,37.0,1941.0,0,2606.0,4.304261e+10,43042608594.0
1105395,800.0,90.0,3954.0,0,780.0,1098.5801,318.580078125
927258,1000.0,70.0,1220.0,0,1145.0,1343.9979,198.9979248046875
1001109,800.0,150.0,189.0,0,933.0,1000.05115,67.0511474609375
687549,0.0,20.0,550.0,0,1654.0,916803.25,915149.25
712767,500.0,49.0,776.0,0,1510.0,1.7121762e+07,17120252.0
1247242,1000.0,55.9,1051.0,0,263.0,319.43732,56.43731689453125
1165046,0.0,32.5,550.0,0,414.0,432.47903,18.479034423828125
874284,900.0,60.0,2803.0,0,1176.0,4377.5854,3201.58544921875
553192,700.0,16.0,1725.0,0,2254.0,2.7078727e+13,27078726514482.0
543998,800.0,32.0,1718.0,0,2535.0,4.0475418e+08,404751641.0
1151199,400.0,30.0,2177.0,0,780.0,1046.046,266.0460205078125
749433,700.0,34.5,1344.0,0,1510.0,1.3153231e+06,1313813.125
280473,0.0,70.0,189.0,0,3412.0,4.6737265e+09,4673723052.0
1027709,0.0,58.0,189.0,0,1145.0,184.7324,0.0
963775,0.0,125.0,189.0,0,1114.0,1409.0707,295.0706787109375
716247,50.0,40.5,2108.0,0,1510.0,8.3674225e+19,8.367422465645111e+19
1200782,580.0,70.0,1152.0,0,324.0,326.51877,2.518768310546875
466230,300.0,11.0,599.0,0,2241.0,1.3296783e+19,1.3296783341811399e+19
741696,600.0,40.5,776.0,0,1375.0,4690.175,3315.1748046875
936314,0.0,27.0,358.0,0,1145.0,34532.344,33387.34375
1292845,0.0,10.0,2164.0,0,49.0,7.4840584,0.0
1123602,0.0,100.0,263.0,0,475.0,366.875,0.0
1185622,820.0,21.0,3670.0,0,414.0,481.38907,67.38906860351562
828935,100.0,10.8,1814.0,0,1289.0,50.776516,0.0
1054275,800.0,37.0,1803.0,0,1510.0,7.378713e+06,7377203.0
1186639,920.0,53.0,3719.0,0,414.0,497.95978,83.95977783203125
1299790,1000.0,25.0,3360.0,0,414.0,494.24863,80.24862670898438
950619,800.0,28.0,750.0,0,1479.0,36231.406,34752.40625
1000442,800.0,90.0,189.0,0,933.0,795.65967,0.0
671671,0.0,70.0,189.0,0,1875.0,128614.89,126739.890625
1126576,700.0,95.0,613.0,0,1510.0,1.0615664e+07,10614154.0
1207124,0.0,150.0,2065.0,0,202.0,646.49396,444.49395751953125
160286,820.0,100.0,2.0,0,2711.0,3.031599e+10,30315986281.0
1163202,0.0,32.5,550.0,0,414.0,432.47903,18.479034423828125
968912,500.0,22.0,3365.0,0,1145.0,5425.2837,4280.28369140625
697926,650.0,100.0,189.0,0,1510.0,4.8579092e+07,48577582.0
638528,0.0,250.0,189.0,0,1936.0,873906.7,871970.6875
1054425,800.0,21.0,1803.0,0,1510.0,6.146178e+06,6144668.0
174029,900.0,100.0,2.0,0,2699.0,5.521571e+12,5521571050869.0
1086014,850.0,27.0,3670.0,0,780.0,1105.5736,325.5736083984375
400961,400.0,70.0,729.0,0,2389.0,3.1688725e+06,3166483.5
274507,0.0,70.0,189.0,0,3412.0,4.6737265e+09,4673723052.0
1186852,1020.0,40.0,3800.0,0,414.0,169.56654,0.0
1035406,600.0,40.0,3633.0,0,780.0,1577.721,797.720947265625
971204,600.0,22.0,1947.0,0,924.0,1601.9972,677.9971923828125
1193153,1200.0,110.0,2429.0,0,324.0,197.18681,0.0
160754,820.0,43.0,358.0,0,2711.0,3.885938e+07,38856669.0
1183812,320.0,28.0,1745.0,0,414.0,2309.1443,1895.144287109375
1192641,900.0,61.0,2443.0,0,324.0,403.52924,79.52923583984375
1272236,700.0,18.0,1379.0,0,49.0,17.89572,0.0
278005,0.0,150.0,1241.0,0,3412.0,3.980035e+06,3976623.0
923123,900.0,150.0,2959.0,0,1145.0,1299.2002,154.2001953125
170680,0.0,58.0,549.0,0,2711.0,958966.2,956255.1875
484360,500.0,150.0,601.0,0,2241.0,1.858939e+10,18589388607.0
913852,0.0,22.0,1344.0,0,1510.0,49700.832,48190.83203125
867110,600.0,28.0,2781.0,0,1510.0,805592.1,804082.125
1178807,500.0,15.0,2089.0,0,414.0,1057.2885,643.2884521484375
943506,0.0,40.0,776.0,0,1145.0,14952.143,13807.142578125
630255,0.0,100.0,189.0,0,1936.0,1.3535965e+06,1351660.5
1243569,800.0,50.0,2065.0,0,263.0,1200.0774,937.077392578125
939886,0.0,48.0,358.0,0,1145.0,630.8961,0.0
173706,900.0,100.0,66.0,0,2699.0,1.7852965e+12,1785296450933.0
898789,950.0,100.0,189.0,0,1510.0,4.2603612e+07,42602102.0
1055168,400.0,19.0,1745.0,0,1510.0,1.1701555e+07,11700045.0
327752,0.0,100.0,261.0,0,3366.0,1.5130011e+08,151296746.0
1207423,700.0,150.0,2065.0,0,202.0,510.44183,308.44183349609375
