arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine,pred_giorni_al_guasto
3983,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,48.0,4/12/2014 17:41:00,30.0,lampada spenta,1.0,sostituito lampada,41.95842486620848,12.348917241497118,800.4996
3984,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,48.0,4/12/2014 17:41:00,30.0,lampada spenta,1.0,sostituito lampada,41.993972218849386,12.543856320112322,800.4996
3985,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,48.0,4/12/2014 17:41:00,30.0,lampada spenta,1.0,sostituito lampada,41.89065876777181,12.673644349147924,800.4996
3986,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,48.0,4/12/2014 17:41:00,30.0,lampada spenta,1.0,sostituito lampada,41.981742735517,12.55218534991466,800.4996
3987,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,257.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.973745276456526,12.506927770664891,785.2014
3988,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,257.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.92000662240936,12.437121105432038,785.2014
3989,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,257.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.90066654603493,12.529617882931063,785.2014
3990,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,257.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.84776401929653,12.595822347628646,785.2014
3991,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,257.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,42.04854643934698,12.485687544393445,785.2014
3992,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,257.0,TP,Testapalo,47.0,4/12/2014 17:05:00,30.0,lampada spenta,1.0,sostituito lampada,41.83592135125501,12.357045791004044,785.2014
