arm_id,arm_altezza,arm_lmp_potenza_nominale,tmo_id,giorni_guasto,giorni_osservati_finora
1118594,900.0,150.0,2.0,0,780.0
1223823,1300.0,83.0,750.0,0,263.0
1287467,0.0,4.0,2120.0,0,49.0
937064,0.0,65.0,1456.0,0,1145.0
280500,0.0,100.0,1241.0,0,3412.0
1169998,300.0,30.0,195.0,0,414.0
1156574,800.0,102.0,550.0,0,414.0
1000550,500.0,40.0,189.0,0,933.0
584510,0.0,30.0,656.0,0,2271.0
632384,350.0,40.0,769.0,0,1936.0
1135540,400.0,18.0,4079.0,0,780.0
272333,0.0,70.0,189.0,0,3412.0
637215,500.0,30.8,1943.0,0,1936.0
157186,920.0,150.0,241.0,0,2711.0
877750,800.0,18.0,2816.0,0,1145.0
1225569,500.0,13.0,1811.0,0,263.0
474285,800.0,70.0,640.0,0,2241.0
1051802,930.0,52.0,1941.0,0,2606.0
1038436,800.0,77.0,749.0,0,1510.0
712621,450.0,40.5,776.0,0,1510.0
502337,900.0,70.0,640.0,0,2241.0
1167748,300.0,30.0,195.0,0,414.0
1037797,700.0,19.0,749.0,0,1510.0
893173,450.0,150.0,189.0,0,1390.0
1031700,800.0,70.0,189.0,0,780.0
1086888,500.0,150.0,3804.0,0,536.0
140612,900.0,39.5,1867.0,0,2887.0
1116495,0.0,50.0,189.0,0,414.0
490213,650.0,70.0,611.0,0,2241.0
1300379,800.0,40.0,3360.0,0,414.0
1123955,0.0,58.0,4019.0,0,475.0
997489,800.0,150.0,189.0,0,964.0
1205845,900.0,76.0,1155.0,0,414.0
1179833,1020.0,111.0,1384.0,0,2241.0
495798,800.0,73.0,605.0,0,2820.0
699158,0.0,113.0,747.0,0,1498.0
624978,0.0,74.0,753.0,0,1936.0
1129633,800.0,65.0,2065.0,0,414.0
948187,400.0,30.5,1813.0,0,1479.0
902659,900.0,100.0,189.0,0,1510.0
530506,850.0,150.0,189.0,0,2241.0
136802,0.0,32.5,550.0,0,2887.0
1138105,400.0,70.0,2065.0,0,355.0
473009,800.0,70.0,1371.0,0,2241.0
476322,900.0,39.0,550.0,0,2204.0
1124150,0.0,70.0,164.0,0,475.0
1253582,800.0,35.0,4085.0,0,49.0
465463,900.0,150.0,611.0,0,2241.0
644855,500.0,70.0,262.0,0,1936.0
1072059,600.0,115.0,2065.0,0,780.0
271919,0.0,0.0,189.0,0,3412.0
1203900,900.0,49.0,2417.0,0,324.0
1216348,400.0,10.0,2202.0,0,414.0
941350,0.0,12.0,3062.0,0,1145.0
870211,0.0,70.0,1456.0,0,1510.0
989567,700.0,100.0,189.0,0,964.0
1145027,800.0,45.0,4096.0,0,414.0
1193739,1000.0,89.0,2424.0,0,324.0
502752,800.0,100.0,640.0,0,2241.0
936436,0.0,150.0,3054.0,0,1145.0
499160,950.0,100.0,640.0,0,2241.0
1217908,650.0,45.0,2201.0,0,414.0
326602,0.0,210.0,261.0,0,3366.0
987463,700.0,33.0,1803.0,0,1145.0
1022709,800.0,0.0,189.0,0,1086.0
1127369,0.0,37.4,1867.0,0,414.0
1263463,300.0,20.0,1454.0,0,49.0
1095255,600.0,25.0,3707.0,0,889.0
673658,0.0,100.0,225.0,0,1875.0
379648,700.0,100.0,613.0,0,2416.0
986610,1000.0,52.0,3387.0,0,1145.0
1025844,800.0,150.0,73.0,0,1145.0
1059091,1100.0,33.0,1803.0,0,1542.0
1158041,0.0,14.5,749.0,0,414.0
1062670,900.0,30.0,3723.0,0,780.0
1251913,900.0,37.0,749.0,0,414.0
1028478,800.0,100.0,189.0,0,797.0
1217637,700.0,30.0,2201.0,0,414.0
711606,800.0,67.0,722.0,0,1510.0
1041224,0.0,50.0,189.0,0,720.0
1247717,950.0,28.0,3670.0,0,414.0
1226750,500.0,25.0,4394.0,0,414.0
717462,350.0,21.0,1860.0,0,1510.0
1145925,600.0,20.0,225.0,0,414.0
935437,0.0,150.0,1456.0,0,1145.0
998969,900.0,125.0,189.0,0,964.0
488054,600.0,35.0,1612.0,0,2241.0
400007,650.0,70.0,611.0,0,2389.0
998984,900.0,100.0,189.0,0,964.0
1287081,800.0,29.0,1362.0,0,49.0
1202350,1000.0,110.0,2432.0,0,324.0
653223,0.0,33.9,722.0,0,1936.0
1251668,800.0,28.0,749.0,0,414.0
912875,900.0,87.0,605.0,0,1390.0
693131,700.0,70.0,189.0,0,1510.0
1297274,850.0,36.0,4768.0,0,24.0
312720,0.0,110.0,189.0,0,3366.0
1274614,300.0,20.0,2804.0,0,49.0
1291610,500.0,13.5,1811.0,0,49.0
1061476,900.0,20.5,3723.0,0,780.0
637673,0.0,76.0,550.0,0,1936.0
739163,0.0,100.0,1278.0,0,1390.0
963692,550.0,35.0,600.0,0,1145.0
153156,820.0,100.0,53.0,0,2711.0
725909,0.0,16.5,750.0,0,1410.0
185836,0.0,28.0,1317.0,0,2450.0
1257480,800.0,28.0,1867.0,0,49.0
